PREC,TEMP,WIND_SPEED,RH,DMG
0.0,286.95,4.0,12.3,1
0.0,286.34999999999997,4.2,24.8,1
0.0,279.25,1.8,49.8,1
0.0,287.65,3.7,53.0,1
0.0,290.04999999999995,2.5,47.3,1
0.0,289.75,3.9,40.0,1
0.0,291.54999999999995,2.1,30.7,1
0.0,287.15,3.1,23.3,1
0.0,291.15,3.1,19.3,1
0.0,290.34999999999997,2.2,15.0,1
0.0,291.04999999999995,1.4,20.5,1
0.0,288.84999999999997,3.2,20.0,1
0.0,289.54999999999995,2.2,13.2,1
0.0,276.95,1.0,56.3,1
0.0,278.45,1.3,71.5,1
0.0,284.15,2.2,42.0,1
0.0,287.95,3.8,16.8,1
0.0,288.34999999999997,2.9,27.5,1
0.0,288.75,3.4,11.8,1
0.0,281.34999999999997,6.2,52.8,1
0.0,287.25,3.4,13.7,1
0.0,286.84999999999997,2.1,15.6,1
0.0,287.84999999999997,3.5,17.5,1
0.0,284.15,2.4,15.2,1
0.0,283.34999999999997,2.1,15.1,1
0.0,280.54999999999995,7.1,40.6,1
0.0,282.75,2.6,16.3,1
0.0,280.84999999999997,2.0,18.7,1
0.0,281.65,3.5,18.5,1
0.0,283.95,4.8,28.5,1
0.0,286.95,2.8,27.0,1
0.0,288.25,2.7,12.1,1
0.0,286.84999999999997,4.3,14.3,1
0.0,293.95,4.4,20.2,1
0.0,285.54999999999995,5.2,36.7,1
0.0,286.04999999999995,4.1,14.9,1
0.0,291.95,2.2,19.3,1
0.0,285.65,3.1,17.0,1
0.0,279.04999999999995,2.9,62.8,1
0.0,286.65,4.2,33.5,1
0.0,290.65,6.1,23.4,1
0.0,291.25,4.3,25.8,1
0.0,291.15,2.3,20.8,1
0.0,292.34999999999997,3.4,16.3,1
0.0,291.84999999999997,2.7,18.0,1
0.0,288.75,3.1,28.8,1
0.0,288.84999999999997,3.3,18.6,1
0.0,282.95,1.6,30.6,1
0.0,284.84999999999997,3.7,23.0,1
0.0,284.15,2.1,29.8,1
0.0,288.95,2.9,29.5,1
0.0,288.65,3.8,25.8,1
0.0,286.84999999999997,1.7,30.7,1
0.0,286.15,2.0,55.0,1
0.0,286.45,2.7,32.0,1
0.0,290.45,4.1,28.5,1
0.0,290.45,3.8,28.2,1
0.0,290.34999999999997,2.7,30.2,1
0.0,290.95,2.4,28.8,1
0.0,292.54999999999995,2.8,31.2,1
0.0,286.65,2.3,38.8,1
0.0,287.04999999999995,2.5,38.7,1
0.0,290.04999999999995,2.2,18.3,1
0.0,283.75,1.6,42.2,1
0.0,289.65,1.5,17.4,1
0.0,289.54999999999995,1.8,22.5,1
0.0,288.34999999999997,1.4,22.0,1
0.0,286.54999999999995,2.2,26.8,1
0.0,285.25,2.1,23.2,1
0.0,284.84999999999997,2.3,37.7,1
0.0,282.84999999999997,2.7,32.3,1
0.0,283.84999999999997,2.6,15.7,1
0.0,285.15,2.7,10.6,1
0.0,291.84999999999997,1.5,27.3,1
0.0,291.84999999999997,2.2,36.6,1
0.0,290.54999999999995,2.7,46.5,1
0.0,288.75,1.3,38.4,1
0.0,283.54999999999995,1.3,72.5,1
0.0,281.54999999999995,0.6,60.8,1
0.0,289.45,2.6,40.2,1
0.0,288.25,0.6,40.7,1
